,data,target
0,"court agrees to expedite n.f.l.'s appeal the decision means a ruling could be made nearly two months before the regular season begins, time for the sides to work out a deal without delaying the season. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/nbjo7ygxwpc/04nfl.html",0
1,"no tsunami but fifa's corruption storm rages on though jack warner's threatened soccer ""tsunami"" remains stuck in the doldrums, the corruption storm raging around fifa shows no sign of abating after another extraordinary week for the game's governing body. http://feeds.reuters.com/~r/reuters/sportsnews/~3/ffa6ftdsudg/us-soccer-fifa-idustre7563p620110607",0
2,chung backs bin hammam in fifa presidential race mohamed bin hammam received a boost to his campaign to become fifa president when he was backed by his former foe and ex-fifa executive committee member chung mong-joon tuesday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/998q6pajync/us-soccer-fifa-binhammam-idustre7342oh20110405,0
3,rory mcilroy hangs on to slim lead at augusta britain's rory mcilroy was clinging to a one-shot lead midway through the third round at the masters on saturday as the challengers started to make their move. http://feeds.reuters.com/~r/reuters/sportsnews/~3/mycd_l88bls/us-golf-masters-idustre7382vw20110409,0
4,"figure skating: south korean skater stumbles, but still leads, in moscow kim yu-na, the olympic champion in vancouver in 2010, was not quite regal in moscow on friday, yet she still led the short program. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/hmnjf9nfsbi/30iht-skating30.html",0
5,"ryan kesler's tiebreaker gives canucks 3-1 lead on predators ryan kesler broke a tie with a power-play goal at 7:28 of the third period, and the vancouver canucks beat the nashville predators 4-2 on thursday ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/3unibbmbpw8/2011-05-05-canucks-predators-game-four_n.htm",0
6,"marv albert to return as nfl voice; networks bid for olympics in announcing monday that marv albert will call nfl games for his network, cbs sports chairman sean mcmanus noted the albert's ""remarkable longevity."" ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ats0kgwiauo/2011-06-06-marv-albert-nfl-olympics_n.htm",0
7,"eastern finals: game 7 preview with the best-of-seven eastern conference finals tied 3-3, the boston bruins will host the tampa bay lightning in game 7 friday (8 p.m. et,  ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/hnnlnklxbq0/2011-05-26-eastern-finals-game-7-preview_n.htm",0
8,"derrick rose rallies bulls past bucks derrick rose hit three straight shots in the final two minutes, rallying the chicago bulls to a 95-87 victory over the milwaukee bucks on saturday ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/ri0r5dtdftc/2011-03-26-bulls-bucks_n.htm",0
9,"africa has record entry for 2014 world cup africa has a record entry for the 2014 world cup finals and the qualification process will begin before the end of the year, the confederation of african football said on tuesday. http://feeds.reuters.com/~r/reuters/sportsnews/~3/rz0gixy_lyy/us-soccer-africa-world-idustre74g4ze20110517",0
10,"bin hammam withdraws from fifa presidential race mohamed bin hammam of qatar withdrew his candidacy for the post of fifa president on saturday, one day before he is due to face an ethics committee hearing into bribery allegations. http://feeds.reuters.com/~r/reuters/sportsnews/~3/fi5nwy2wj6y/us-soccer-fifa-binhammam-idustre74s00720110529",0
11,"nba game 5 preview: heat at mavericks on thursday a look at the nba finals game 5 matchup between the miami heat and dallas mavericks, thursday in dallas (9 p.m. et). http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/wrs3n5iq568/2011-06-08-nba-game-5-preview_n.htm",0
12,"veterinarian urges foundation's overhaul the thoroughbred retirement foundation was completing its review, saying that dr. stacey huntington's evaluation of the horses previously under its care was incomplete. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/fru9xo6rqwm/08horse.html",0
13,houston astros are sold to local businessman the houston astros owner drayton mclane announced monday that he has agreed to sell the team he has owned for 19 years to a group led by the local businessman jim crane. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/_jr8qm_sboa/ap-bbn-astros-sale.html,0
14,"mets seek $200 million for portion of the team the mets' owners are also telling potential bidders they might sell a portion of sny, their cable network, but that such a negotiation would take place separately. http://feeds1.nytimes.com/~r/nyt/rss/sports/~3/vvk0npmbb18/31mets.html",0
15,"andre ethier extends hit streak to 26, but padres top dodgers will venable scored the go-ahead run on a wild pitch by reliever matt guerrier with two outs in the eighth inning, and the san diego padres got ... http://rssfeeds.usatoday.com/~r/usatodaycomsports-topstories/~3/-agzxl6-go4/2011-04-30-dodgers-padres_n.htm",0
16,indycar land of opportunity for women racers indycar is the land of opportunity for the world's top women race car drivers who will try to turn sunday's 100th indianapolis 500 into ladies day at the famed brickyard. http://feeds.reuters.com/~r/reuters/sportsnews/~3/ysnbbiedyua/us-motor-racing-indy-women-idustre74q73v20110527,0
17,figure skating-japan's ando wins emotional gold japan's miki ando upstaged olympic champion kim yuna to strike gold at the world figure skating championships on saturday and hoped she had lifted the spirits of her devastated nation. http://feeds.reuters.com/~r/reuters/sportsnews/~3/amefpnpv87m/us-figure-skating-world-idustre73t17d20110430,0
